,Half Life
Pair 1,6
Pair 2,6
Pair 3,5
Pair 4,6
Pair 5,5
Pair 6,5
Pair 7,6
Pair 8,6
Pair 9,5
Pair 10,5
Pair 11,7
Pair 12,6
Pair 13,7
Pair 14,2
Pair 15,5
Pair 16,6
Pair 17,10
Pair 18,6
Pair 19,7
Pair 20,7
Pair 21,7
Pair 22,7
Pair 23,7
Pair 24,7
Pair 25,7
Pair 26,6
Pair 27,7
Pair 28,7
Pair 29,7
Pair 30,7
Pair 31,7
Pair 32,19
Pair 33,19
Pair 34,8
Pair 35,6
Pair 36,7
Pair 37,5
Pair 38,8
Pair 39,7
Pair 40,8
Pair 41,6
Pair 42,8
Pair 43,8
Pair 44,9
Pair 45,8
Pair 46,8
Pair 47,8
Pair 48,7
Pair 49,7
Pair 50,6
Pair 51,7
Pair 52,7
Pair 53,7
Pair 54,7
Pair 55,8
Pair 56,8
Pair 57,7
Pair 58,7
Pair 59,8
Pair 60,6
Pair 61,6
Pair 62,5
Pair 63,8
Pair 64,7
Pair 65,7
Pair 66,6
Pair 67,5
Pair 68,6
Pair 69,5
Pair 70,5
Pair 71,6
Pair 72,6
Pair 73,6
