,,MaxProfit,long_entryZscore,long_exitZscore,short_entryZscore,short_exitZscore
1,ORCL GOOGL,2.96447099,-0.664773105,0.050268392,0.735625463,-0.046281919
2,USLV GLD,5.932841495,-0.724779559,0.057938465,0.420410627,-0.054521157
3,USLV AAPL,7.173640747,-0.409840665,0.059463506,0.737689372,-0.053158487
4,USLV GOOGL,7.926473947,-0.812030687,0.075921075,0.030073076,-0.051942072
5,USLV AMD,5.738268232,-0.327197636,0.056441569,0.819756461,-0.064161165
6,USLV NVDA,3.900264841,-0.669375,0.0509375,0.72625,-0.0509375
7,USLV CSCO,8.043060162,-0.730971195,0.056509559,0.524022875,-0.051460716
8,USLV ORCL,7.825165543,-0.640698242,0.05170929,0.686246948,-0.050886536
9,USLV TTWO,5.212588567,-0.695311375,0.052439299,0.710071392,-0.049219341
10,USLV EA,7.142707318,-0.709700623,0.052536774,0.609372559,-0.051324615
11,USLV HYG,7.012029034,-0.766099218,0.047620122,0.697153757,-0.047442465
12,USLV LQD,6.971492001,-0.789801229,0.051047846,0.687448222,-0.048372204
13,USLV JNK,6.785423692,-0.729031372,0.049978943,0.706895752,-0.049951477
14,VOO SPY,1.212881513,-0.826561096,0.069391903,-0.007453057,-0.052737685
15,KXI VDC,1.448835236,-0.7175,0.05125,0.665,-0.05125
16,VNQ ORCL,3.299470173,-0.65544734,0.050423471,0.750564691,-0.05133956
17,VNQ USO,3.088717528,-0.704460449,0.05100647,0.683482666,-0.050957642
18,VNQ QQQ,2.399522735,-0.781771965,0.050584278,0.65091423,-0.050087032
19,VNQ SPY,2.327934632,-0.845128042,0.057412031,0.363056599,-0.056177962
20,VNQ VOO,2.287845307,-0.771392821,0.049786769,0.606735403,-0.051772295
21,VNQ VTI,2.377382911,-0.502571916,0.059541477,0.383946514,-0.067454339
22,VNQ VDC,2.070844429,-0.694372134,0.051100246,0.686046193,-0.050440189
23,VNQ IBB,2.839437192,-0.755638364,0.049507088,0.663927251,-0.048341852
24,VNQ VHT,2.237078311,-0.486921294,0.050660265,0.815299993,-0.056646723
25,IYR CSCO,3.688045722,-0.634958237,0.069488463,-0.028415521,-0.054734182
26,IYR ORCL,3.359825657,-0.68006917,0.050920377,0.625161304,-0.052952514
27,IYR SPY,2.210322301,-0.715772816,0.056444067,0.520907984,-0.055084562
28,IYR VOO,2.263355484,-0.722767525,0.068819738,0.244657936,-0.057726745
29,IYR VTI,2.18399594,-0.735084381,0.055599594,0.448599854,-0.058315048
30,IYR VHT,2.087272879,-0.6825,0.050625,0.70875,-0.051875
31,MSFT AMD,3.436107996,-0.564918688,0.053233297,0.825819536,-0.046117975
32,UPRO GOOGL,1.700797971,-0.626112328,0.053791752,0.566060486,-0.053221378
33,UPRO ORCL,1.591457962,-0.660625,0.05109375,0.7590625,-0.04953125
34,JPM IYR,3.151600678,-0.671482287,0.051871858,0.731302318,-0.052217308
35,CVX LQD,3.173287423,-0.174493942,0.059564005,0.818809209,-0.059937493
36,CVX IBB,3.530215112,-0.616094781,0.05917668,-0.049572123,-0.075910848
37,CVX TMF,4.941825733,-0.32701769,0.060221714,0.829551725,-0.05386222
38,XOM PG,2.853249449,-0.578807888,0.066216655,0.15130061,-0.06863554
39,INTC CSCO,3.535712153,0.020201724,0.079131399,0.062226244,-0.086349966
40,INTC TTWO,2.48176097,-0.69996582,0.050140381,0.698513184,-0.050140381
41,COST MSFT,2.498450418,-0.720614111,0.057134145,0.57040358,-0.050718488
42,T AAPL,2.782956423,-0.645859375,0.048925781,0.707382813,-0.051113281
43,T AMD,2.897326654,-0.713125,0.049375,0.730625,-0.0509375
44,T NVDA,2.836420365,-0.6803125,0.048359375,0.71859375,-0.052109375
45,T QQQ,2.414949962,-0.670947266,0.051762695,0.674433594,-0.052290039
46,T MSFT,2.444500867,-0.759093934,0.048173774,0.680602919,-0.04995679
47,T WMT,2.685269419,-0.660235416,0.053881465,0.591678279,-0.052390115
48,VZ GOOGL,2.84393857,-0.728871155,0.051053314,0.686494751,-0.051440887
49,VZ CSCO,3.708954332,-0.162174796,0.054773936,0.548859601,-0.072077797
50,VZ TTWO,3.082078756,-0.7590625,0.0471875,0.6628125,-0.05421875
51,VZ EA,2.964770778,-0.688789062,0.050722656,0.698359375,-0.050722656
52,VZ QQQ,2.393775886,-0.729579315,0.048270493,0.703095398,-0.054255142
53,VZ SPY,2.333799655,-0.758985596,0.052177124,0.596025391,-0.053043823
54,VZ VOO,2.38608996,-0.755738516,0.050507809,0.603048004,-0.055250797
55,VZ VDE,3.082442312,-9.49E-01,0.028141911,0.532595988,-0.064017935
56,VZ VTI,2.340997657,-0.730625,0.0509375,0.69125,-0.0490625
57,VZ VDC,2.426539703,-0.746886537,0.049883114,0.744543359,-0.045588465
58,VZ VHT,2.549988341,-0.6671875,0.051640625,0.69453125,-0.050078125
59,VZ IYR,2.520723115,-0.721757507,0.050833893,0.685494995,-0.049476776
60,VZ MSFT,2.850303411,-0.656865234,0.052451782,0.677005615,-0.051939087
61,VZ PG,2.719953114,-0.684516602,0.050900879,0.692958984,-0.050998535
62,VZ TMF,5.293969198,-0.444911937,0.053173728,0.753686291,-0.060635218
63,VZ JPM,3.022453749,-0.727128202,0.067741169,-0.025577584,-0.068016291
64,VZ XOM,2.86901829,-0.6934375,0.05421875,0.660625,-0.04734375
65,VZ INTC,3.085347204,-0.723877716,0.054933071,0.544214058,-0.050373745
66,VZ COST,2.878931114,-0.605328356,0.04935351,0.680232376,-0.056017575
67,VZ WMT,3.441083885,-0.831643807,0.05894918,0.347990544,-0.054809189
68,CMCSA ORCL,3.621201686,-0.690053538,0.054704277,0.658436701,-0.049883911
69,CMCSA VDC,3.10831309,-0.616941469,0.055844257,0.598278583,-0.053717017
70,CMCSA KXI,3.509425536,0.064195819,0.055354357,0.345364561,-0.088670121
71,CMCSA VHT,2.661069907,-0.647945188,0.053769166,0.705583688,-0.050184926
72,CMCSA VNQ,3.243366921,-0.559885995,0.052759037,0.737988678,-0.053154924
73,CMCSA IYR,3.033211942,-0.702729368,0.04864985,0.740476561,-0.049634037
